,词语,词频
56268,张秀智,6
56269,陈云峰,8
56270,一闪,19
56271,如释重负,18
56272,滕海滨,8
56273,张成龙,7
56274,陪衬,7
56275,肉色,8
56276,关子,11
56277,煞是,4
56278,帮帮忙,15
56279,随缘吧,5
56280,爱巢,29
56281,近年二,1
56282,幕前,10
56283,商厦,29
56284,地铺,12
56285,好啦,11
56286,生财有道,5
56287,爆发力,30
56288,暌违,9
56289,旧地,5
56290,蹿升,11
56291,宋柯,2
56292,汉武,1
56293,大帝,8
56294,余音绕梁,2
56295,看不惯,23
56296,恋寻,2
56297,中气不足,1
56298,破音,2
56299,出奇,40
56300,金磊,9
56301,判若云泥,4
56302,王克和,1
56303,赵露,1
56304,抢白,1
56305,关力,2
56306,常晟罡,2
56307,发声,128
56308,小四月,81
56309,向海面,2
56310,温静,7
56311,德比战,2
56312,首冠,2
56313,先声夺人,10
56314,畲族,13
56315,健走,6
56316,成千,2
56317,蓄势,13
56318,无独有偶,36
56319,始料未及,20
56320,羽林,1
56321,双流县,44
56322,工作总结,37
56323,税费,148
56324,每四年,10
56325,李凤楼,4
56326,袁伟民,24
56327,年维泗,39
56328,执委,77
56329,入主,58
56330,魏吉祥,56
56331,做题,7
56332,有所发展,7
56333,作怪,25
56334,张子扬,4
56335,吐舌,21
56336,鲁班奖,7
56337,添建,1
56338,石鼓,2
56339,汇鑫,2
56340,凯瑞,3
56341,扶风县,6
56342,汤峪,2
56343,龙源,2
56344,七星河,2
56345,礼泉县,3
56346,石坡村,3
56347,刘小宁,5
56348,捐资,57
56349,父老乡亲,21
56350,烟霞镇,1
56351,干透,4
56352,修完,10
56353,柴草,3
56354,复员,11
56355,建筑队,5
56356,村容村貌,24
56357,刘日民,1
56358,修通,20
56359,体育用品,7
56360,校服,54
56361,桌椅板凳,13
56362,韩城市,12
56363,孙仲民,4
56364,韩城,10
56365,史智理,6
56366,煤炭局,5
56367,张顺科,6
56368,樊少义,6
56369,王玉安,6
56370,经销点,6
56371,左亚军,2
56372,乐天,48
56373,樊文泉,2
56374,签单,11
56375,经樊文,2
56376,大荔县,35
56377,张红娟,3
56378,子洲县,1
56379,秦都区,12
56380,连续报道,18
56381,龙岗寺,2
56382,南郑县,6
56383,梁山镇,4
56384,古人类,41
56385,墓葬群,1
56386,禅院,4
56387,代表会议,3
56388,木架,4
56389,棣花镇,2
56390,大铁钟,1
56391,楼座,1
56392,古钟,3
56393,棣花村,1
56394,柱体,1
56395,老何,1
56396,铁钟,1
56397,法华寺,3
56398,张红中,2
56399,柞水县,8
56400,柞水,4
56401,张胜华,4
56402,曹坪镇,2
56403,农林村,6
56404,材料费,8
56405,欠着,4
56406,凑钱,43
56407,债主,53
56408,白西斌,2
56409,凝魂,4
56410,凝炼,2
56411,社会教育,14
56412,重德,2
56413,陈希,7
56414,朱之鑫,2
56415,秦宜智,5
56416,张研农,7
56417,艾文礼,16
56418,庹震,2
56419,蒙山,7
56420,响九霄,1
56421,孙德民,1
56422,胡宗琪,1
56423,父与子,7
56424,两代,57
56425,张晓华,2
56426,寄宿生,10
56427,张家口,97
56428,保定市,85
56429,特困县,1
56430,零就业,29
56431,延至,17
56432,应退,5
56433,应补,4
56434,孕产妇,20
56435,郭东,9
56436,就绪,48
56437,彩虹门,8
56438,氢气球,10
56439,门户网,6
56440,社情民意,78
56441,自助餐,83
56442,带路,23
56443,兰保良,7
56444,帆布包,4
56445,薛惠娟,14
56446,同呼吸,16
56447,共命运,11
56448,信赖,84
56449,范照兵,8
56450,王雪峰,15
56451,张杰辉,6
56452,郭华,4
56453,葛会波,4
56454,韩葆珍,1
56455,王玉亮,8
56456,庞超,5
56457,套型,7
56458,赵建,14
56459,段丽茜,9
56460,内丘县,7
56461,张麻村,2
56462,赵永辉,3
56463,田园化,4
56464,路不平,2
56465,两脚,21
56466,沼气池,7
56467,烟熏火燎,7
56468,旱厕,12
56469,蔚蓝色,4
56470,小房子,27
56471,熠熠生辉,17
56472,杨现忠,1
56473,浇花,7
56474,南和县,1
56475,张庄村,1
56476,养鱼,45
56477,种花,13
56478,吕竹青,2
56479,王淼,2
56480,邱县,20
56481,加法,29
56482,旧城区,7
56483,安书民,1
56484,产业工人,32
56485,两手抓,47
56486,河渠,10
56487,水系,85
56488,集中供热,22
56489,赵晓清,2
56490,刘剑英,3
56491,省管县,1
56492,矿区,74
56493,代发,52
56494,赵晓华,5
56495,周转金,9
56496,本息,52
56497,追偿,27
56498,房管,74
56499,总承包,37
56500,逐出,7
56501,冯月静,10
56502,威纳,1
56503,漂洗,4
56504,生物降解,2
56505,威纳邦,1
56506,赵威,2
56507,总统令,8
56508,参加者,60
56509,彼得罗夫斯基,2
56510,茹科夫,2
56511,切尔内申科,1
56512,张东波,2
56513,郭声琨,8
56514,武警部队,78
56515,革命化,16
56516,军魂,5
56517,军旗,28
56518,永向党,1
56519,遂行,31
56520,堪培拉,42
56521,李景卫,4
56522,致函,49
56523,布鲁斯,24
56524,邦德,8
56525,杀人犯,19
56526,主宰,26
56527,利国利,2
56528,生动活泼,17
56529,对象化,7
56530,背信弃义,4
56531,见死不救,7
56532,制假,46
56533,称颂,9
56534,高楼大厦,24
56535,倍加,40
56536,并肩作战,22
56537,逊尼派,27
56538,拉马迪,12
56539,纪律性,2
56540,萨迪克,1
56541,国中,12
56542,蔑视,35
56543,导火线,5
56544,加温,14
56545,专硕,4
56546,考研热,5
56547,洪成文,3
56548,研招办,7
56549,割让,21
56550,全岛,34
56551,投降书,29
56552,新经验,33
56553,选题,39
56554,法拉奇,3
56555,多项选择题,6
56556,差异性,43
56557,马廷臣,3
56558,老妇人,39
56559,真题,12
56560,完形,4
56561,填空,4
56562,题型,29
56563,刘兴欢,3
56564,鉴别仪,3
56565,许路阳,11
56566,份数,6
56567,书刊,18
56568,张梦琪,11
56569,墓石,2
56570,疑团,12
56571,长沟镇,3
56572,坟庄村,3
56573,考古所,7
56574,曾祖父,11
56575,刺史,11
56576,西川,6
56577,尉,3
56578,蓟国,7
56579,太夫人,15
56580,燕国,6
56581,独享,26
56582,尊荣,5
56583,罗森,7
56584,中到大雪,12
56585,冬麦区,5
56586,墒,3
56587,冯国栋,8
56588,性学家,28
56589,赛迪,2
56590,皱,36
56591,皮肤过敏,20
56592,希腊人,3
56593,纤细,24
56594,一团糟,9
56595,从容不迫,8
56596,神经兴奋,4
56597,释放激素,1
56598,早泄,35
56599,游乐场,27
56600,按摩法,1
56601,芳香,34
56602,精油,24
56603,毯子,11
56604,西班牙语,21
56605,卡努特,2
56606,锋线,10
56607,里卡多,3
56608,乌伊法鲁希,1
56609,梅策尔德,1
56610,卡拉格,1
56611,内维尔,2
56612,阿尔贝尔达,1
56613,范博梅尔,1
56614,斯科尔斯,1
56615,任重而道远,25
56616,具体化,56
56617,莱尔,4
56618,莱万特,4
56619,初犯,16
56620,保底,18
56621,湘潭县,28
56622,易俗河,2
56623,郎酒,3
56624,生就,27
56625,苦口,7
56626,瓶盖,25
56627,瓶口,1
56628,雨湖区,1
56629,砂子,5
56630,罗姓,13
56631,赔偿损失,52
56632,十倍,78
56633,湘君,1
56634,曾磊,1
56635,赔得,8
56636,欧阳铁,1
56637,阿里山,10
56638,柳姓,4
56639,边坡,14
56640,奋起湖,4
56641,纽泽西,7
56642,槟榔园,2
56643,得奖者,4
56644,陈咏彤,4
56645,迷途,11
56646,正途,3
56647,彤,98
56648,摇头丸,8
56649,修读,6
56650,到职,4
56651,记性,15
56652,发型屋,2
56653,唤回,3
56654,随访,26
56655,初等,23
56656,中等教育,14
56657,传教,21
56658,交感神经,14
56659,头颈,6
56660,心烦意乱,6
56661,喇叭,59
56662,任国勇,3
56663,利州区,13
56664,朝天区,2
56665,大滩镇,1
56666,柏杨乡,1
56667,北街,27
56668,商业局,2
56669,往楼上,6
56670,断送,25
56671,胡姓,7
56672,追杀,30
56673,雨棚,18
56674,罗思章,3
56675,礼节性,10
56676,强吻,41
56677,别喊,6
56678,谅,7
56679,小美,173
56680,钦州市,57
56681,沙埠镇,26
56682,磨刀水,24
56683,山岭,34
56684,泥娃娃,12
56685,喝喜酒,48
56686,钦南区,24
56687,同桌,140
56688,找遍,24
56689,侄女,137
56690,埠,33
56691,嫂子,40
56692,人贩子,40
56693,拆线,10
56694,比伯,24
56695,戈麦斯,16
56696,韩娜,5
56697,多台,24
56698,侦测,12
56699,招纳,1
56700,三等,45
56701,另设,1
56702,单项,65
56703,京山,3
56704,京山县,3
56705,江水发,1
56706,珞,12
56707,天体物理,2
56708,卫校,7
56709,深造,60
56710,李卫兵,11
56711,受惠者,1
56712,考试题,2
56713,亲恩,1
56714,柱状图,3
56715,演进,22
56716,边哭,15
56717,写错,26
56718,这一下,5
56719,多分,22
56720,临场,15
56721,睡过头,2
56722,孟文钱,1
56723,学姐,16
56724,乐毅,5
56725,廖仕祺,5
56726,王凤徐,1
56727,啸,5
56728,徐慧冬,1
56729,赵海涛,3
56730,张怡晟,2
56731,谢彬,1
56732,曲严,3
56733,刘蔚丹,1
56734,扩招,16
56735,实务,25
56736,导师制,5
56737,邓松,15
56738,不惑之年,13
56739,败北,14
56740,书本,48
56741,文华,17
56742,眼观,11
56743,耳听八方,8
56744,文泰,1
56745,专业课,60
56746,考得,24
56747,石锓,3
56748,破格,103
56749,刘辉,13
56750,赵莉,5
56751,徐伯行,1
56752,陈博,6
56753,李子云,1
56754,却步,11
56755,五六万,5
56756,空当,20
56757,何芯,1
56758,里外,19
56759,八九万,3
56760,李旻君,1
56761,舍近求远,5
56762,报考点,1
56763,武大,12
56764,保研,15
56765,较贵,8
56766,闻霄,1
56767,王锋刚,1
56768,王锋,1
56769,小夏,43
56770,工科,13
56771,踩线,12
56772,朱佳琦,3
56773,陈博邓,1
56774,会计学院,3
56775,金融学院,1
56776,杨佳峰,1
56777,恩施州,10
56778,来凤县,4
56779,绿水镇,2
56780,四合村,2
56781,帽山,3
56782,来凤,8
56783,峡,47
56784,弄清,49
56785,警灯,29
56786,糖纸,3
56787,张振,3
56788,张钊瑞,1
56789,老娘舅,5
56790,尹先生,30
56791,杨蕾,5
56792,陈文,35
56793,朱美虹,2
56794,钦羡,5
56795,火车头,26
56796,什么鸟,2
56797,双阴茎,5
56798,风起云涌,8
56799,晦涩,3
56800,天赐,10
56801,隔间,24
56802,小便器,1
56803,双性恋,22
56804,李睿,3
56805,偷欢,9
56806,偷吻,1
56807,栎精,6
56808,绝句,3
56809,七言,6
56810,律诗,4
56811,古诗词,11
56812,课时,25
56813,武叶,5
56814,周文华,8
56815,张加军,8
56816,致胜,17
56817,至尊,18
56818,子网,6
56819,贾方政,1
56820,良乡,9
56821,石羊村,7
56822,左脸,23
56823,纸箱,61
56824,木箱,24
56825,墙根,7
56826,范春旭,3
56827,费丹丹,1
56828,安好,6
56829,方元法,1
56830,胡馨,1
56831,王辉亚,1
56832,到南极,3
56833,戴涛,1
56834,初夜,46
56835,交配,180
56836,古代史,5
56837,瞠目,15
56838,斑纹,18
56839,牡牛,5
56840,神奥,5
56841,试想想,6
56842,乱伦,11
56843,牒,10
56844,张仁勇,4
56845,讨还,2
56846,黑道,35
56847,难吃,15
56848,香浓,6
56849,苦涩,34
56850,千万年前,2
56851,四五十年前,6
56852,糠,11
56853,缴械,16
56854,房中术,4
56855,新高潮,14
56856,持久战,39
56857,新知,9
56858,尺码,13
56859,基因变异,2
56860,神经病学,4
56861,帕金森,19
56862,心慌气短,2
56863,易激动,1
56864,狂躁,20
56865,有机体,1
56866,五行,26
56867,五味,41
56868,相生相克,5
56869,贝类,8
56870,韭菜,77
56871,原动力,9
56872,三里镇,2
56873,经管站,1
56874,王家,14
56875,租价,11
56876,鄂州市,19
56877,张爱虎,6
56878,中央级,3
56879,控管,9
56880,张珊妮,1
56881,朱彦,1
56882,徐卫兴,1
56883,冉勇,1
56884,赵路星,1
56885,邹斌,11
56886,彩带,25
56887,刘新华,7
56888,饱和量,1
56889,尚城,1
56890,王双正,1
56891,如云,21
56892,藏龙卧虎,2
56893,哲理,19
56894,丁其刚,3
56895,吴家山,13
56896,彭鹏飞,2
56897,吴中路,1
56898,瘫坐,16
56899,搬动,10
56900,开道,41
56901,罗利俊,1
56902,口眼歪斜,1
56903,领带,39
56904,冷却塔,18
56905,福田福,1
56906,烟雾弥漫,6
56907,阻燃性,1
56908,麻痹大意,11
56909,溅落,10
56910,十五日,20
56911,孔凡瑞,1
56912,黄海军,1
56913,重于泰山,15
56914,许勤,18
56915,举一反三,49
56916,勃然,2
56917,文化学者,11
56918,书城,19
56919,诗文,34
56920,朗诵会,6
56921,辩论赛,6
56922,活跃度,29
56923,王京生,5
56924,剪影,11
56925,两城,7
56926,辐射力,8
56927,蔡照光,1
56928,求真,27
56929,真善美,27
56930,边疆,113
56931,跻身于,6
56932,青河县,26
56933,夫唱妇随,19
56934,底子,20
56935,哈三中,1
56936,周长胜,3
56937,青河,34
56938,玛孜库拉,1
56939,周老师,4
56940,李春梅,8
56941,农药学,1
56942,身怀六甲,10
56943,待产,51
56944,周游,13
56945,哈尔滨市,68
56946,王兴伟,2
56947,正轨,68
56948,通网,1
56949,五月份,5
56950,补完,5
56951,发颤,3
56952,尽职尽责,43
56953,问寒问暖,4
56954,循循善诱,4
56955,英语课,7
56956,脊柱炎,10
56957,别妻,1
56958,乡关,1
56959,闲暇,62
56960,稚子,2
56961,长夜,8
56962,龙江援,1
56963,孙树新,1
56964,青格里,2
56965,王秀英,1
56966,福海,24
56967,袁代福,1
56968,林肃,15
56969,一千多天,1
56970,熬过,12
56971,地理环境,12
56972,边关,8
56973,岳父母,19
56974,大国策,1
56975,大战略,16
56976,入眠,42
56977,当空,7
56978,何日,11
56979,鞠,26
56980,请老,2
56981,思变,3
56982,易鹏,7
56983,管清友,3
56984,白云峰,1
56985,许维鸿,3
56986,撰稿人,11
56987,李志强,8
56988,吴超,32
56989,宏华,32
56990,十字口,17
56991,女司机,168
56992,啪,12
56993,两百多根,4
56994,玄武区,10
56995,毗卢寺,4
56996,梅园新村,5
56997,总统府,70
56998,织造,5
56999,标志物,12
57000,周小云,7
57001,市立,37
57002,董会峰,4
57003,保育员,28
57004,沙袋,9
57005,恋栈,6
57006,驾轻就熟,10
57007,树杈,4
57008,擦身,25
57009,心灵手巧,19
57010,西施,53
57011,适应性,22
57012,李祥辉,4
57013,件数,46
57014,拿错,24
57015,说不清,29
57016,问责制,41
57017,许会,2
57018,穗六条,8
57019,难控,6
57020,平抑,31
57021,假离婚,27
57022,毛坯,9
57023,王珏林,9
57024,最南端,20
57025,沙永兴,1
57026,军民共建,5
57027,江泽民,36
57028,军警民,12
57029,水警区,9
57030,李鹏,20
57031,石晓磊,1
57032,曙光路,5
57033,曹家坡,6
57034,叶林锋,21
57035,雨花,13
57036,副科长,51
57037,肖强,5
57038,查岗,13
57039,受罚,22
57040,从警,20
57041,本份,2
57042,姑婆,4
57043,大大咧咧,43
57044,重压,39
57045,刘璐,4
57046,汉语言,7
57047,刘正光,2
57048,于欣雨,3
57049,大过,20
57050,吴天,3
57051,刘柳,1
57052,张硕,20
57053,董明,1
57054,贤良,5
57055,郭台铭,35
57056,林淑如,3
57057,玲珑,11
57058,丁氏,2
57059,画风,15
57060,丁梦琼,1
57061,丁梦林,1
57062,姐妹俩,44
57063,插画,18
57064,精益求精,30
57065,山塘,8
57066,现在二,3
57067,神隐,9
57068,军事化,14
57069,没来由,1
57070,姨妈,16
57071,昨天零时,3
57072,抖包袱,7
57073,微词,38
57074,唱法,21
57075,老气,7
57076,落伍,39
57077,听审,18
57078,下集,9
57079,重振旗鼓,2
57080,三缄其口,29
57081,内鬼,11
57082,敏感数据,7
57083,服装类,5
57084,凡客,16
57085,公关部,39
57086,问讯,8
57087,机场路,8
57088,壮阔,14
57089,生物圈,2
57090,肾藏精,3
57091,中医科,7
57092,晋献春,5
57093,肾豆,5
57094,筋骨,44
57095,食用量,10
57096,煮粥,37
57097,肾阴虚,6
57098,肾阳虚,11
57099,茶素,1
57100,芳香油,1
57101,脂多糖,22
57102,嘴馋,13
57103,褪黑素,12
57104,牙周组织,1
57105,牙槽骨,1
57106,移位,16
57107,抗癌药物,5
57108,豆浆粉,4
57109,孔凡,3
57110,榆中,16
57111,屯昌,66
57112,向荣,5
57113,红城,19
57114,横路,17
57115,大印,2
57116,椰树,22
57117,爱华,15
57118,预约单,6
57119,王歧丰,2
57120,文李木,1
57121,机子,12
57122,耀州区,4
57123,关庄镇,1
57124,关庄,2
57125,信用社,52
57126,四五十秒,1
57127,盘库,1
57128,复得,3
57129,自认倒霉,17
57130,傍晚六时,4
57131,荆州街,5
57132,田朝宇,4
57133,单衣,9
57134,尤西比奥,135
57135,射手,47
57136,很滑,1
57137,高金耀,4
57138,艉,4
57139,廓,4
57140,地磁场,5
57141,地磁仪,4
57142,南磁极,9
57143,垂直分量,1
57144,实验员,3
57145,肖永琦,2
57146,声学,7
57147,多普勒,4
57148,剖面,8
57149,重力仪,1
57150,船舷,7
57151,驾驶台,5
57152,李明广,1
57153,普里兹,5
57154,罗斯海,4
57155,麋,5
57156,肖钲霖,1
57157,采样器,1
57158,上船,8
57159,滤膜,1
57160,地质调查,2
57161,陈虹,9
57162,测绘,60
57163,韩惠军,1
57164,全站仪,4
57165,速率,40
57166,班戈,5
57167,皮质区,1
57168,金钱观,3
57169,乱花钱,33
57170,赵卫功,5
57171,李江,10
57172,额敏县,11
57173,玛依塔斯,35
57174,车灯,25
57175,扑打,5
57176,养路工,1
57177,道道,15
57178,李建成,7
57179,扫雪,30
57180,风吹雪,11
57181,老风口,8
57182,刮大风,2
57183,威远县,5
57184,小河镇,6
57185,矸子,27
57186,拉登,35
57187,大骗子,5
57188,慕名而来,36
57189,卡洛儿,2
57190,罗伯兹,12
57191,中校,26
57192,奥利佛,2
57193,诺斯,3
57194,布隆迪,10
57195,反叛者,6
57196,标志牌,114
57197,倒放,16
57198,碎裂,44
57199,麦地那,7
57200,迫降,40
57201,哈巴里,1
57202,马什哈德,3
57203,闫宝卿,7
57204,部际,34
57205,行得通,18
57206,切合,58
57207,赵乐际,25
57208,赵洪祝,25
57209,张日红,2
57210,田洋,5
57211,槟郎,1
57212,农林局,4
57213,农技站,4
57214,王海平,1
57215,农业厅,95
57216,雷震,3
57217,村屯,23
57218,阳江镇,1
57219,信访件,12
57220,徇私枉法,48
57221,凤凰路,18
57222,马伟元,14
57223,驻马店,24
57224,鼠标垫,1
57225,手饰,2
57226,搭话,9
57227,仨人,2
57228,血光,1
57229,调包,41
57230,误信,3
57231,金手镯,10
57232,包好,32
57233,不灵,25
57234,千古,47
57235,织布,4
57236,黎乐,1
57237,蜡染,1
57238,学生装,1
57239,报童,14
57240,范例,70
57241,喏,3
57242,哒,3
57243,戏剧家,11
57244,优惠待遇,8
57245,多级,9
57246,政务中心,29
57247,年审,57
57248,受罪,18
57249,陈卫东,12
57250,虚设,2
57251,检票口,71
57252,农博城,5
57253,恒兴,8
57254,自购,23
57255,自销,14
57256,割破,9
57257,猪排骨,5
57258,真气,5
57259,难言,19
57260,王大妈,10
57261,只鸡,36
57262,黑猪,25
57263,议价,31
57264,强买强卖,11
57265,一头猪,15
57266,猪肚,7
57267,多赚,21
57268,欲哭无泪,21
57269,黄雄,5
57270,黑势力,2
57271,倒闭,96
57272,谭龙昆,1
57273,抓猪,1
57274,畜牧局,15
57275,统购统销,5
57276,南大,39
57277,破头,4
57278,翻倒,19
57279,电单车,3
57280,李雯,9
57281,贪便宜,18
57282,保修,21
57283,维修费,27
57284,缺心眼,6
57285,塌,32
57286,谭利秋,16
57287,连遭,5
57288,谭,130
57289,刘辉东,2
57290,全压,6
57291,谭锦光,1
57292,原籍,60
57293,修配厂,1
57294,吉阳,3
57295,修鞋,5
57296,晚上八九,10
57297,筹借,2
57298,病倒,27
57299,卧床不起,12
57300,教职工,81
57301,杯水车薪,22
57302,三亚站,3
57303,临高人,1
57304,无业,65
57305,詹,137
57306,詹某,30
57307,微型车,14
57308,看不上眼,1
57309,青年路,37
57310,黄褐色,14
57311,怪味,14
57312,藻类,44
57313,谢俊,2
57314,钟英礼,1
57315,欢声笑语,57
57316,三人间,2
57317,曾传江,1
57318,符荣花,1
57319,符阿婆,1
57320,有请,10
57321,仿造,15
57322,停牌,62
57323,批件,6
57324,复牌,21
57325,科研所,19
57326,布列斯特,2
57327,驱赶,57
57328,顾念,2
57329,海洋生态学,2
57330,罗格斯,2
57331,沈桂林,241
57332,后移,13
57333,泰特,31
57334,坐收,7
57335,两界,6
57336,海甸岛,16
57337,危机四伏,18
57338,候鸟,92
57339,聚众,115
57340,禁赌,56
57341,垦区,10
57342,责任人员,47
57343,忠介,5
57344,失察,36
57345,晏某某,1
57346,黄某某,15
57347,钟某,2
57348,查禁,7
57349,张振汉,4
57350,纤体,51
57351,胀大,3
57352,港女,9
57353,铜锣湾,16
57354,拉筋,4
57355,腰骨,1
57356,食量,35
57357,白米,14
57358,前世,21
57359,白热化,64
57360,礼聘,1
57361,汪明荃,17
57362,薛家燕,2
57363,红外线,26
57364,色光,2
57365,穴道,2
57366,甜品,46
57367,宵夜,24
57368,体胖,3
57369,抽脂,12
57370,羊肠线,2
57371,微针,1
57372,挑花,3
57373,埋入,13
57374,工薪族,8
57375,中医诊所,5
57376,屈臣氏,6
57377,三宝,22
57378,荻,28
57379,赵莹莹,16
57380,御景湾,10
57381,白家楼,1
57382,桥东,15
57383,宝蓝,2
57384,康达,10
57385,两限房,20
57386,无房户,2
57387,胡涵,14
57388,硬座,207
57389,有余,144
57390,软座,69
57391,刘春瑞,19
57392,盼雪,7
57393,当周,10
57394,融雪,16
57395,望眼欲穿,4
57396,飘洒,1
57397,冷气团,7
57398,冷冬,2
57399,放晴,5
57400,付治龙,1
57401,三九,80
57402,常言,7
57403,四九,27
57404,凌晨三四,11
57405,清算行,6
57406,多笔,6
57407,银团,8
57408,势态,4
57409,起落,21
57410,杂陈,29
57411,酸甜苦辣,22
57412,全聚德,29
57413,生路,3
57414,泰康,11
57415,昌九,9
57416,稀土,77
57417,借壳,23
57418,绝地,24
57419,跌停板,1
57420,买盘,4
57421,出逃,63
57422,空壳,15
57423,换手率,6
57424,龙虎榜,3
57425,营业部,131
57426,击鼓,4
57427,东方路,3
57428,国泰,43
57429,君安,26
57430,益田路,2
57431,安信,5
57432,咨询费,24
57433,会员制,21
57434,代销,14
57435,返佣,6
57436,南辕北辙,5
57437,康宏,1
57438,诺亚,6
57439,排排网,1
57440,卖什么,4
57441,外力,50
57442,精品店,7
57443,不知去向,68
57444,风靡一时,13
57445,稍差,5
57446,会提,10
57447,厮杀,23
57448,高门槛,8
57449,水漂,16
57450,翟羽佳,9
57451,酒厂,68
57452,刘晓午,2
57453,跑马,16
57454,死期,6
57455,沧州,66
57456,无措,6
57457,杂志社,39
57458,副总编,7
57459,汪社锋,1
57460,茅台,207
57461,五粮液,720
57462,计划性,21
57463,水排,4
57464,迫切性,7
57465,丁纯,2
57466,姬鹏程,6
57467,商品性,8
57468,吴力波,3
57469,丰水,7
57470,林伯强,19
57471,优价,3
57472,邓郁松,3
57473,直饮水,3
57474,漏率,6
57475,承担者,9
57476,有理有据,21
57477,余南平,7
57478,波恩,16
57479,夕照,3
57480,复建,50
57481,夕照寺,1
57482,神意,2
57483,适意,1
57484,禅文化,1
57485,玉文化,1
57486,唐三彩,26
57487,面颊,12
57488,俊秀,12
57489,雄强,4
57490,气宇,6
57491,轩昂,8
57492,蝙蝠,61
57493,所困,22
57494,船员们,6
57495,补给船,11
57496,喀布尔,46
57497,哈尔,8
57498,连云港市,10
57499,新浦区,5
57500,天坑,26
57501,一百米,12
57502,日四,5
57503,克星,55
57504,廖晓农,1
57505,刮风,8
57506,催雨,3
57507,郭学良,2
57508,盛行风,1
57509,通风道,1
57510,杨保军,1
57511,消雾,1
57512,液氮,6
57513,制冷剂,4
57514,周伟思,116
57515,行贿罪,26
57516,天基,9
57517,分得,40
57518,吴伟东,1
57519,汪林丰,2
57520,半边楼,3
57521,崔爱国,46
57522,中级法院,34
57523,贺晓郁,43
57524,星河城,1
57525,镇国寺,1
57526,风荷,24
57527,曲苑,2
57528,玺萌,2
57529,鹏,76
57530,哪项,5
57531,将来二,1
57532,立功,178
57533,人防费,17
57534,开发中心,3
57535,甩卖,15
57536,招摇,7
57537,年九十月份,6
57538,证言,76
57539,婚房,33
57540,马家堡,6
57541,结论性,15
57542,武鸣县,34
57543,武鸣,11
57544,灵水,7
57545,发帖者,15
57546,推断出,23
57547,反面教材,4
57548,周如雨,1
57549,非诉讼,2
57550,税务所,12
57551,服务组,4
57552,待批,4
57553,合法性,65
57554,刘宁,4
57555,邱波,8
57556,求全,5
57557,任文婧,3
57558,鲜肉包,5
57559,韩包子,18
57560,鲜肉包子,6
57561,馅儿,17
57562,酥,39
57563,姜汁,6
57564,川椒,5
57565,料酒,41
57566,拌匀,23
57567,年五,7
57568,贡献度,18
57569,排污费,50
57570,拥堵费,94
57571,多万吨,12
57572,倪元锦,3
57573,印书馆,12
57574,小便宜,12
57575,刁大妈,6
57576,炒金,5
57577,急用,27
57578,注脚,35
57579,高盛,24
57580,被套牢,5
57581,赵海均,2
57582,周大妈,10
57583,顾晓鸣,3
57584,文娱,26
57585,好大喜功,6
57586,拍脑袋,58
57587,娱乐中心,10
57588,罗大妈,4
57589,罗云淑,2
57590,穷得,8
57591,白大妈,2
57592,刘大妈,14
57593,白仙娥,2
57594,刘素珍,2
57595,卷饼,8
57596,黑锅,2
57597,停稳,31
57598,引导员,30
57599,排忧解难,66
57600,马大姐,7
57601,卢越,3
57602,王玉兴,1
57603,项城市,39
57604,英华,46
57605,光武,3
57606,教学班,9
57607,董某,2
57608,邓宝珍,63
57609,中心校,35
57610,王家文,56
57611,资格证,61
57612,丫头,20
57613,别怕,11
57614,亚合甫,4
57615,厄,24
57616,驾驶者,29
57617,完璧归赵,7
57618,钱袋,6
57619,铁西区,9
57620,翁婿,3
57621,原封不动,7
57622,无责,23
57623,王澍,1
57624,夹带,20
57625,鞋盒,3
57626,常看,9
57627,边角,13
57628,给母亲,41
57629,压岁钱,205
57630,喝光,3
57631,胡同,202
57632,一块儿,49
57633,行吗,24
57634,着脸,18
57635,擦净,4
57636,啄木鸟,17
57637,丢脸,21
57638,摄制组,21
57639,攥着,18
57640,兜圈,3
57641,售货车,2
57642,火气,27
57643,抡,34
57644,果壳,25
57645,竹签,11
57646,志同道合,25
57647,害虫,14
57648,赵荣现,1
57649,活雷锋,5
57650,陈颖怡,1
57651,非典,17
57652,春风吹又生,4
57653,纤尘,4
57654,梁启超,18
57655,学系,40
57656,不适感,22
57657,非同一般,26
57658,钮文异,1
57659,夏学銮,12
57660,周孝正,5
57661,咽炎,3
57662,凌,36
57663,苹果核,5
57664,送命,17
57665,罪案,13
57666,电水壶,7
57667,玻璃瓶,43
57668,熊骆生,16
57669,卢玲英,16
57670,表兄妹,12
57671,宜丰县,8
57672,旁系,13
57673,血亲,23
57674,近亲结婚,4
57675,原被告,27
57676,重婚,20
57677,钟宜华,3
57678,黎明苑,1
57679,西二环,24
57680,方块,12
57681,垫脚,3
57682,挨家,5
57683,持续发烧,8
57684,河沟,24
57685,心惊,7
57686,水里去,2
57687,盖房,19
57688,跌下,22
57689,宾阳县,14
57690,过路人,16
57691,芦圩镇,1
57692,碗窑村,1
57693,泥沙,36
57694,皮肤擦伤,1
57695,摇醒,10
57696,念念,18
57697,周承权,1
57698,罗棚桢,1
57699,通化,9
57700,打头阵,13
57701,主菜,20
57702,四小花旦,10
57703,会试,8
57704,正人君子,1
57705,易误解,1
57706,大手大脚,32
57707,所迫,23
57708,一块钱,25
57709,岳池县,44
57710,白庙镇,1
57711,莲桥村,1
57712,小农,14
57713,垭,14
57714,望天田,1
57715,尹光荣,1
